timestamp,step,symbol,action,side,quantity,price,value_usd,fee,portfolio_value,buyhold_value,pnl_pct
2026-01-31T14:54:27.653795,2,ETH/FDUSD,PAPER,BUY,0.01727261612333137,2536.52,43.81233624915249,0.04381233624915249,0,0,0.0
2026-01-31T14:54:27.675832,2,XRP/FDUSD,PAPER,BUY,173.2698652416357,1.6335,283.0363248722119,0.28303632487221186,0,0,0.0
2026-01-31T14:54:27.699778,2,DOT/FDUSD,PAPER,BUY,236.0350792184725,1.56,368.2147235808171,0.36821472358081714,0,0,0.0
2026-01-31T14:54:27.718036,2,LTC/FDUSD,PAPER,BUY,7.274319101327205,60.15,437.55029394483137,0.43755029394483136,0,0,0.0
2026-01-31T14:55:46.845539,3,LTC/FDUSD,PAPER,BUY,3.7641294840685866,60.5,227.7298337861495,0.2277298337861495,0,0,0.0
