timestamp,step,portfolio_value,buyhold_value,cash_balance,positions_value,unrealized_pnl,total_trades,winning_trades,losing_trades
2026-02-10T00:00:28.900774,0,10000.0,10008.364954384546,10000.0,0.0,0.0,0,0,0
2026-02-10T00:01:59.478777,1,10000.0,10016.495748554495,10000.0,0.0,0.0,0,0,0
2026-02-10T00:03:28.188249,2,9996.417613621172,10017.656879767292,8742.592643949512,1253.8249696716603,-3.5823863788282324,5,0,0
2026-02-10T00:04:57.120791,3,9999.08779316494,10013.424396617922,9172.46562008776,826.6221730771799,-0.9122068350607151,6,0,1
2026-02-10T00:06:24.683578,4,9999.029544945064,10010.8359000581,9129.66078052735,869.3687644177135,-0.9704550549358828,7,0,1
2026-02-10T00:07:52.109917,5,9998.933878995582,10006.912363042267,8874.030278672584,1124.9036003229976,-1.0661210044181644,8,0,1
2026-02-10T00:09:20.917717,6,10001.260277437807,10001.686525045245,8401.29293766714,1599.9673397706674,1.2602774378065078,10,0,1
2026-02-10T00:10:48.602212,7,10008.899406748347,10001.426785907004,6549.371130741399,3459.5282760069495,8.899406748347246,16,0,1
2026-02-10T00:12:14.228979,8,10015.376922261341,10010.120185712258,5919.775368396014,4095.601553865328,15.376922261340951,19,0,1
2026-02-10T00:13:40.119280,9,10020.185348879837,10009.992185926487,5018.08909483314,5002.096254046698,20.185348879836965,26,0,1
2026-02-10T00:15:03.764274,10,10023.004104741249,10012.354726166432,4471.9108035992895,5551.093301141958,23.00410474124874,29,0,1
2026-02-10T00:16:23.238543,11,10027.381039693792,10016.321478599542,3912.6780687287587,6114.702970965032,27.381039693791536,33,0,1
2026-02-10T00:21:06.720951,12,10029.024527343305,10017.719621818083,3803.1230828043535,6225.901444538951,29.024527343304726,34,0,1
2026-02-10T00:22:24.632428,13,10010.006334281958,9985.01684462651,3696.6356364858316,6313.370697796126,10.006334281957606,35,0,1
2026-02-10T00:23:41.599966,14,10010.069892452198,9987.594039003297,3772.111109742081,6237.958782710117,10.069892452198474,37,0,2
2026-02-10T00:35:41.117216,15,10010.716733921166,9989.190937818632,3735.777273323773,6274.939460597394,10.716733921166451,39,0,3
2026-02-10T00:37:12.770810,16,10024.06641916104,10009.485146967727,3735.777273323773,6288.289145837267,24.06641916103945,39,0,3
2026-02-10T00:38:45.165404,17,10024.074607536719,10007.920779575446,3581.3651460263904,6442.709461510329,24.07460753671876,40,0,3
2026-02-10T00:40:17.630794,18,10021.932129149802,10002.945350902139,3283.9002055534843,6738.031923596317,21.932129149801767,44,0,3
2026-02-10T00:41:47.930262,19,10018.717882628755,9995.58492556082,3185.567097798391,6833.150784830364,18.717882628754523,46,0,3
