timestamp,step,symbol,action,side,quantity,price,value_usd,fee,portfolio_value,buyhold_value,pnl_pct
2026-02-10T00:03:28.168441,2,BTC/FDUSD,PAPER,BUY,0.008851406817183754,70257.33,621.8762097191287,0.6218762097191287,0,0,0.0
2026-02-10T00:03:28.174227,2,ETH/FDUSD,PAPER,BUY,0.020980540711826815,2109.45,44.25740160456307,0.044257401604563075,0,0,0.0
2026-02-10T00:03:28.179224,2,BNB/FDUSD,PAPER,BUY,0.029330673673941432,637.93,18.710916656817457,0.018710916656817456,0,0,0.0
2026-02-10T00:03:28.183221,2,ADA/FDUSD,PAPER,BUY,1099.9699626855877,0.2705,297.5418749064515,0.2975418749064515,0,0,0.0
2026-02-10T00:03:28.188249,2,XRP/FDUSD,PAPER,BUY,188.499004711597,1.44,271.4385667846997,0.2714385667846997,0,0,0.0
2026-02-10T00:04:57.120791,3,BTC/FDUSD,PAPER,SELL,0.006077966014466179,70210.0,426.7339938756704,0.4267339938756704,0,0,0.0
2026-02-10T00:06:24.683578,4,ETH/FDUSD,PAPER,BUY,0.020582023219060632,2107.21,43.370645147436754,0.04337064514743676,0,0,0.0
2026-02-10T00:07:52.094296,5,LTC/FDUSD,PAPER,BUY,4.6978453155428825,54.43,255.70372052499908,0.25570372052499907,0,0,0.0
2026-02-10T00:09:20.917717,6,ETH/FDUSD,PAPER,BUY,0.11102636400160001,2103.06,233.49510507720493,0.23349510507720492,0,0,0.0
2026-02-10T00:09:20.917717,6,LTC/FDUSD,PAPER,BUY,4.447581699893282,54.43,242.0818719251913,0.24208187192519132,0,0,0.0
2026-02-10T00:10:48.592168,7,BNB/FDUSD,PAPER,BUY,0.645481218166376,636.65,410.9456175456233,0.4109456175456233,0,0,0.0
2026-02-10T00:10:48.595168,7,XRP/FDUSD,PAPER,BUY,167.7285396965053,1.4387,241.31105006136218,0.2413110500613622,0,0,0.0
2026-02-10T00:10:48.598166,7,DOGE/FDUSD,PAPER,BUY,2438.5719323505646,0.09624,234.68816276941834,0.23468816276941834,0,0,0.0
2026-02-10T00:10:48.600166,7,DOT/FDUSD,PAPER,BUY,462.5445336657006,1.32,610.5587844387248,0.6105587844387248,0,0,0.0
2026-02-10T00:10:48.602212,7,LTC/FDUSD,PAPER,BUY,3.5673436929082865,54.43,194.17051720499802,0.19417051720499803,0,0,0.0
2026-02-10T00:10:48.602212,7,LINK/FDUSD,PAPER,BUY,18.93263466855153,8.84,167.3644904699955,0.16736449046999552,0,0,0.0
2026-02-10T00:12:14.228979,8,XRP/FDUSD,PAPER,BUY,137.55056257065155,1.4407,198.1690954955377,0.1981690954955377,0,0,0.0
2026-02-10T00:12:14.228979,8,DOT/FDUSD,PAPER,BUY,199.18263762236649,1.321,263.12026429914613,0.26312026429914614,0,0,0.0
2026-02-10T00:12:14.228979,8,LTC/FDUSD,PAPER,BUY,3.1448768699660903,54.49,171.36434064445226,0.17136434064445225,0,0,0.0
2026-02-10T00:13:40.103656,9,ETH/FDUSD,PAPER,BUY,0.01335423363259744,2109.6,28.17209127132756,0.02817209127132756,0,0,0.0
2026-02-10T00:13:40.103656,9,BNB/FDUSD,PAPER,BUY,0.018614143727599508,637.64,11.86912260646655,0.011869122606466552,0,0,0.0
2026-02-10T00:13:40.103656,9,ADA/FDUSD,PAPER,BUY,697.5269859811069,0.2701,188.402038913497,0.188402038913497,0,0,0.0
2026-02-10T00:13:40.103656,9,XRP/FDUSD,PAPER,BUY,119.64865119240551,1.4404,172.3419171775409,0.1723419171775409,0,0,0.0
2026-02-10T00:13:40.103656,9,DOT/FDUSD,PAPER,BUY,173.1137453601574,1.321,228.6832576207679,0.2286832576207679,0,0,0.0
2026-02-10T00:13:40.103656,9,LTC/FDUSD,PAPER,BUY,2.734286979855799,54.49,148.99129753234251,0.14899129753234253,0,0,0.0
2026-02-10T00:13:40.103656,9,LINK/FDUSD,PAPER,BUY,14.48949338637378,8.85,128.23201646940794,0.12823201646940793,0,0,0.0
2026-02-10T00:15:03.755401,10,BNB/FDUSD,PAPER,BUY,0.01584885160126559,637.79,10.10823906277118,0.01010823906277118,0,0,0.0
2026-02-10T00:15:03.758398,10,DOT/FDUSD,PAPER,BUY,308.97062686645063,1.321,408.1501980905813,0.4081501980905813,0,0,0.0
2026-02-10T00:15:03.762275,10,LTC/FDUSD,PAPER,BUY,2.378773666322072,54.49,129.6193770778897,0.1296193770778897,0,0,0.0
2026-02-10T00:16:23.226550,11,ADA/FDUSD,PAPER,BUY,531.0477138538713,0.2702,143.489092283316,0.14348909228331602,0,0,0.0
2026-02-10T00:16:23.230547,11,XRP/FDUSD,PAPER,BUY,91.15684755957477,1.442,131.44817418090682,0.13144817418090682,0,0,0.0
2026-02-10T00:16:23.234546,11,DOT/FDUSD,PAPER,BUY,131.64984976579376,1.32,173.77780169084778,0.17377780169084778,0,0,0.0
2026-02-10T00:16:23.236544,11,LTC/FDUSD,PAPER,BUY,2.0820669374604464,54.55,113.57675143846734,0.11357675143846735,0,0,0.0
2026-02-10T00:17:37.841720,12,LTC/FDUSD,PAPER,BUY,2.023769063211553,54.55,110.39660239819021,0.11039660239819021,0,0,0.0
2026-02-10T00:22:24.629430,13,LTC/FDUSD,PAPER,BUY,1.96710352944163,54.4,107.01043200162466,0.10701043200162466,0,0,0.0
2026-02-10T00:23:41.593968,14,LTC/FDUSD,PAPER,BUY,1.912024630617264,54.4,104.01413990557916,0.10401413990557916,0,0,0.0
2026-02-10T00:23:41.595968,14,LINK/FDUSD,PAPER,SELL,20.498905207020858,8.82,180.80034392592398,0.18080034392592398,0,0,0.0
2026-02-10T00:24:57.217504,15,LTC/FDUSD,PAPER,BUY,1.9510630910078675,54.4,106.13783215082799,0.10613783215082799,0,0,0.0
2026-02-10T00:35:41.105235,15,LINK/FDUSD,PAPER,SELL,7.926243346714731,8.82,69.90946631802393,0.06990946631802393,0,0,0.0
2026-02-10T00:38:45.156409,17,DOT/FDUSD,PAPER,BUY,117.39552143842116,1.32,154.96208829871594,0.15496208829871594,0,0,0.0
2026-02-10T00:40:17.608806,18,BNB/FDUSD,PAPER,BUY,0.011336989340052117,637.96,7.232545719379649,0.0072325457193796495,0,0,0.0
2026-02-10T00:40:17.616803,18,DOGE/FDUSD,PAPER,BUY,526.6968178954849,0.09618,50.65769994518774,0.05065769994518774,0,0,0.0
2026-02-10T00:40:17.621799,18,DOT/FDUSD,PAPER,BUY,110.82997915033911,1.318,146.07391252014696,0.14607391252014695,0,0,0.0
2026-02-10T00:40:17.626796,18,LTC/FDUSD,PAPER,BUY,1.7526585749224175,54.45,95.43225940452564,0.09543225940452564,0,0,0.0
2026-02-10T00:41:47.921267,19,BNB/FDUSD,PAPER,BUY,0.010404910656204303,637.4,6.632090052264622,0.006632090052264622,0,0,0.0
2026-02-10T00:41:47.925264,19,LTC/FDUSD,PAPER,BUY,1.7008078299933658,54.45,92.60898634313877,0.09260898634313877,0,0,0.0
