timestamp,step,portfolio_value,buyhold_value,cash_balance,positions_value,unrealized_pnl,total_trades,winning_trades,losing_trades
2026-02-03T17:47:34.450183,0,10000.0,9997.13244868423,10000.0,0.0,0.0,0,0,0
2026-02-03T17:48:52.598109,1,10000.0,9984.479706647775,10000.0,0.0,0.0,0,0,0
2026-02-03T17:50:05.664065,2,9987.672488097218,9972.400551624105,9654.733333333334,332.9391547638834,-12.327511902782135,2,0,0
2026-02-03T17:51:19.368138,3,9989.302388194526,10017.393390391237,9654.733333333334,334.56905486119285,-10.69761180547357,2,0,0
2026-02-03T17:52:32.325850,4,9988.357929856242,9988.093445362387,9654.733333333334,333.624596522908,-11.642070143758247,2,0,0
2026-02-03T17:53:45.936143,5,9939.431315654727,9971.957336562336,7877.364065836744,2062.0672498179833,-60.56868434527314,6,0,0
2026-02-03T17:54:59.723713,6,9929.41669414318,9972.87111618321,7514.371222510409,2415.0454716327704,-70.58330585682052,9,0,0
2026-02-03T17:56:12.586714,7,9916.988239471355,9947.105569772248,7303.968828280118,2613.0194111912365,-83.01176052864503,10,0,0
2026-02-03T17:57:25.368229,8,9918.962057183937,9958.955171820115,7303.968828280118,2614.993228903819,-81.03794281606315,10,0,0
2026-02-03T17:58:38.296499,9,9918.376490273982,9951.21616296477,7303.968828280118,2614.407661993865,-81.6235097260178,10,0,0
2026-02-03T17:59:51.252404,10,9925.001047143942,9942.682301634284,7483.641748920714,2441.3592982232267,-74.99895285605817,11,0,1
2026-02-03T18:01:08.763302,11,9929.851109958969,9964.08192005707,7468.674465422873,2461.176644536095,-70.14889004103134,12,0,1
2026-02-03T18:02:21.875690,12,9928.892564276488,9958.902607738222,7468.674465422873,2460.2180988536147,-71.10743572351203,12,0,1
2026-02-03T18:03:34.694183,13,9925.314620447922,9939.804156778095,7468.674465422873,2456.640155025048,-74.6853795520783,12,0,1
2026-02-03T18:04:48.707902,14,9923.562382816648,9932.76269965708,7468.674465422873,2454.8879173937753,-76.4376171833519,12,0,1
2026-02-03T18:06:01.301321,15,9928.05400362014,9945.324823673503,7468.674465422873,2459.379538197267,-71.94599637985993,12,0,1
2026-02-03T18:07:13.471443,16,9932.376022053699,9964.70518082623,7468.674465422873,2463.701556630825,-67.62397794630124,12,0,1
2026-02-03T18:08:26.349806,17,9930.296626296182,9957.340121099882,7468.674465422873,2461.622160873309,-69.70337370381822,12,0,1
2026-02-03T18:09:39.161417,18,9931.564385380036,9958.771120504221,7468.674465422873,2462.8899199571615,-68.43561461996433,12,0,1
