timestamp,step,symbol,action,side,quantity,price,value_usd,fee,portfolio_value,buyhold_value,pnl_pct
2026-02-03T17:50:05.617193,2,ETH/FDUSD,PAPER,BUY,0.01984446232233843,2212.01,43.896149101635835,0.043896149101635834,0,0,0.0
2026-02-03T17:50:05.648439,2,XRP/FDUSD,PAPER,BUY,184.79829017469953,1.5641,289.04300566224754,0.28904300566224755,0,0,0.0
2026-02-03T17:53:45.858030,5,BNB/FDUSD,PAPER,BUY,0.6084329149167834,753.97,458.74016485980724,0.45874016485980723,0,0,0.0
2026-02-03T17:53:45.873649,5,DOGE/FDUSD,PAPER,BUY,8138.710599158913,0.10486,853.4251934278036,0.8534251934278037,0,0,0.0
2026-02-03T17:53:45.889274,5,LTC/FDUSD,PAPER,BUY,3.882830144819032,58.43,226.87376536177604,0.22687376536177603,0,0,0.0
2026-02-03T17:53:45.920519,5,LINK/FDUSD,PAPER,BUY,20.329238545722905,9.35,190.07838040250917,0.19007838040250918,0,0,0.0
2026-02-03T17:54:59.648014,6,ETH/FDUSD,PAPER,BUY,0.01567771831839779,2209.48,34.63960507013355,0.03463960507013355,0,0,0.0
2026-02-03T17:54:59.676300,6,DOGE/FDUSD,PAPER,BUY,1019.79609436384,0.10483,106.90522457216136,0.10690522457216137,0,0,0.0
2026-02-03T17:54:59.694808,6,LTC/FDUSD,PAPER,BUY,3.612544356517423,58.48,211.2615939691389,0.21126159396913888,0,0,0.0
2026-02-03T17:56:12.568791,7,LTC/FDUSD,PAPER,BUY,3.5113931145349344,58.27,204.60887678395065,0.20460887678395065,0,0,0.0
2026-02-03T17:59:51.221153,10,LINK/FDUSD,PAPER,SELL,18.296314691150616,9.32,170.52165292152375,0.17052165292152377,0,0,0.0
2026-02-03T18:01:08.753880,11,BNB/FDUSD,PAPER,BUY,0.01937079442200229,753.3,14.592019438094326,0.014592019438094326,0,0,0.0
2026-02-03T18:13:21.463146,21,LINK/FDUSD,PAPER,SELL,0.7589582390403211,9.3,7.058311623074987,0.007058311623074987,0,0,0.0
2026-02-03T18:14:34.124425,22,LINK/FDUSD,PAPER,SELL,0.47561382979860123,9.28,4.413696340531019,0.004413696340531019,0,0,0.0
2026-02-03T18:18:12.163880,25,LTC/FDUSD,PAPER,BUY,3.4957047526830447,57.93,202.50617632292878,0.20250617632292878,0,0,0.0
2026-02-03T18:18:12.183774,25,LINK/FDUSD,PAPER,BUY,18.283699732575343,9.29,169.85557051562492,0.16985557051562492,0,0,0.0
2026-02-03T18:19:24.872282,26,ADA/FDUSD,PAPER,BUY,758.5021592204228,0.2861,217.00746775296295,0.21700746775296295,0,0,0.0
2026-02-03T18:19:24.887889,26,LTC/FDUSD,PAPER,BUY,3.2079636183789457,57.79,185.38821750611928,0.18538821750611928,0,0,0.0
2026-02-03T18:19:24.903512,26,LINK/FDUSD,PAPER,BUY,16.795856427313673,9.23,155.0257548241052,0.15502575482410522,0,0,0.0
2026-02-03T18:20:38.495105,27,ETH/FDUSD,PAPER,BUY,0.012950374563809083,2161.06,27.986536454865256,0.027986536454865256,0,0,0.0
2026-02-03T18:20:38.510723,27,DOT/FDUSD,PAPER,BUY,174.36971870732137,1.453,253.35920128173797,0.25335920128173794,0,0,0.0
2026-02-03T18:20:38.532354,27,LTC/FDUSD,PAPER,BUY,2.901916701088684,57.77,167.6437278218933,0.1676437278218933,0,0,0.0
2026-02-03T18:21:51.428522,28,ETH/FDUSD,PAPER,BUY,0.012040345054060743,2143.12,25.803904292258657,0.025803904292258657,0,0,0.0
2026-02-03T18:21:51.440530,28,BNB/FDUSD,PAPER,BUY,0.015569478077322674,744.68,11.594278934620649,0.01159427893462065,0,0,0.0
2026-02-03T18:21:51.471778,28,DOGE/FDUSD,PAPER,BUY,780.1694691314933,0.10332,80.60710955066588,0.08060710955066588,0,0,0.0
2026-02-03T18:21:51.487403,28,LTC/FDUSD,PAPER,BUY,2.7626585502715315,57.5,158.85286664061306,0.15885286664061307,0,0,0.0
2026-02-03T18:21:51.503027,28,LINK/FDUSD,PAPER,BUY,20.761666218366905,9.19,190.79971254679185,0.19079971254679184,0,0,0.0
2026-02-03T18:23:04.287278,29,ETH/FDUSD,PAPER,BUY,0.011069521495138387,2145.52,23.749879758249314,0.023749879758249316,0,0,0.0
2026-02-03T18:23:04.318503,29,BNB/FDUSD,PAPER,BUY,0.014307510005597157,745.09,10.660382630070385,0.010660382630070386,0,0,0.0
2026-02-03T18:23:04.334127,29,DOGE/FDUSD,PAPER,BUY,717.8229019485152,0.10329,74.14392754226215,0.07414392754226215,0,0,0.0
